freq	dB(S(2,1))
1.49662000000000010E9	-2.94636318154394280E1
1.49672000000000010E9	-2.94411245518198640E1
1.49682000000000000E9	-2.94185895018953580E1
1.49692000000000000E9	-2.93960265959858180E1
1.49702000000000000E9	-2.93734357641521580E1
1.49712000000000020E9	-2.93508169361944750E1
1.49722000000000000E9	-2.93281700416511710E1
1.49732000000000020E9	-2.93054950097975380E1
1.49742000000000020E9	-2.92827917696444120E1
1.49752000000000020E9	-2.92600602499369170E1
1.49762000000000000E9	-2.92373003791533530E1
1.49771999999999990E9	-2.92145120855036030E1
1.49782000000000020E9	-2.91916952969279200E1
1.49792000000000010E9	-2.91688499410957030E1
1.49801999999999990E9	-2.91459759454039880E1
1.49812000000000010E9	-2.91230732369763690E1
1.49822000000000010E9	-2.91001417426612410E1
1.49832000000000010E9	-2.90771813890310280E1
1.49842000000000010E9	-2.90541921023801650E1
1.49852000000000010E9	-2.90311738087242240E1
1.49862000000000030E9	-2.90081264337983490E1
1.49872000000000010E9	-2.89850499030557800E1
1.49882000000000000E9	-2.89619441416666930E1
1.49892000000000000E9	-2.89388090745165360E1
1.49901999999999980E9	-2.89156446262048040E1
1.49912000000000000E9	-2.88924507210435740E1
1.49922000000000000E9	-2.88692272830558940E1
1.49932000000000020E9	-2.88459742359747740E1
1.49942000000000020E9	-2.88226915032413000E1
1.49952000000000000E9	-2.87993790080033030E1
1.49962000000000020E9	-2.87760366731140270E1
1.49972000000000020E9	-2.87526644211305540E1
1.49982000000000020E9	-2.87292621743122730E1
1.49992000000000010E9	-2.87058298546195710E1
1.50002000000000010E9	-2.86823673837120550E1
1.50012000000000010E9	-2.86588746829473750E1
1.50021999999999990E9	-2.86353516733793700E1
1.50032000000000010E9	-2.86117982757568570E1
1.50042000000000010E9	-2.85882144105217550E1
1.50051999999999990E9	-2.85645999978079330E1
1.50062000000000010E9	-2.85409549574392420E1
1.50072000000000010E9	-2.85172792089283740E1
1.50082000000000030E9	-2.84935726714748270E1
1.50092000000000030E9	-2.84698352639637080E1
1.50102000000000000E9	-2.84460669049639090E1
1.50112000000000020E9	-2.84222675127267270E1
1.50122000000000020E9	-2.83984370051840650E1
1.50132000000000020E9	-2.83745752999466830E1
1.50142000000000000E9	-2.83506823143030130E1
1.50151999999999970E9	-2.83267579652169310E1
1.50162000000000020E9	-2.83028021693267550E1
1.50171999999999990E9	-2.82788148429428790E1
1.50182000000000020E9	-2.82547959020468650E1
1.50192000000000010E9	-2.82307452622889740E1
1.50201999999999990E9	-2.82066628389871090E1
1.50212000000000010E9	-2.81825485471247550E1
1.50222000000000010E9	-2.81584023013493740E1
1.50232000000000030E9	-2.81342240159707440E1
1.50242000000000030E9	-2.81100136049589900E1
1.50252000000000010E9	-2.80857709819432340E1
1.50261999999999980E9	-2.80614960602093610E1
1.50271999999999980E9	-2.80371887526986720E1
1.50282000000000030E9	-2.80128489720059100E1
1.50292000000000000E9	-2.79884766303774550E1
1.50301999999999980E9	-2.79640716397094870E1
1.50312000000000020E9	-2.79396339115463640E1
1.50322000000000000E9	-2.79151633570786340E1
1.50332000000000020E9	-2.78906598871411850E1
1.50342000000000020E9	-2.78661234122115880E1
1.50352000000000000E9	-2.78415538424079800E1
1.50362000000000020E9	-2.78169510874874910E1
1.50372000000000020E9	-2.77923150568440040E1
1.50381999999999990E9	-2.77676456595066150E1
1.50391999999999990E9	-2.77429428041375160E1
1.50401999999999990E9	-2.77182063990301990E1
1.50411999999999990E9	-2.76934363521073170E1
1.50421999999999990E9	-2.76686325709191290E1
1.50432000000000030E9	-2.76437949626410660E1
1.50442000000000010E9	-2.76189234340722530E1
1.50451999999999990E9	-2.75940178916330940E1
1.50462000000000030E9	-2.75690782413636050E1
1.50472000000000010E9	-2.75441043889214310E1
1.50482000000000030E9	-2.75190962395793680E1
1.50492000000000030E9	-2.74940536982239920E1
1.50502000000000000E9	-2.74689766693530220E1
1.50512000000000000E9	-2.74438650570738350E1
1.50522000000000000E9	-2.74187187651009090E1
1.50532000000000000E9	-2.73935376967539930E1
1.50542000000000000E9	-2.73683217549560090E1
1.50552000000000000E9	-2.73430708422309100E1
1.50562000000000000E9	-2.73177848607015730E1
1.50571999999999990E9	-2.72924637120877240E1
1.50582000000000040E9	-2.72671072977036390E1
1.50592000000000010E9	-2.72417155184560620E1
1.50601999999999990E9	-2.72162882748422730E1
1.50612000000000030E9	-2.71908254669474440E1
1.50622000000000010E9	-2.71653269944428510E1
1.50632000000000010E9	-2.71397927565835140E1
1.50641999999999990E9	-2.71142226522059370E1
1.50651999999999990E9	-2.70886165797258100E1
1.50662000000000010E9	-2.70629744371359980E1
1.50672000000000010E9	-2.70372961220039930E1
1.50682000000000000E9	-2.70115815314698660E1
1.50692000000000000E9	-2.69858305622437910E1
1.50702000000000000E9	-2.69600431106037600E1
1.50712000000000000E9	-2.69342190723935730E1
1.50722000000000000E9	-2.69083583430198560E1
1.50732000000000040E9	-2.68824608174504660E1
1.50742000000000020E9	-2.68565263902114240E1
1.50752000000000000E9	-2.68305549553851330E1
1.50762000000000000E9	-2.68045464066074230E1
1.50771999999999990E9	-2.67785006370657140E1
1.50782000000000020E9	-2.67524175394959850E1
1.50791999999999990E9	-2.67262970061808370E1
1.50801999999999990E9	-2.67001389289466620E1
1.50812000000000010E9	-2.66739431991616580E1
1.50822000000000010E9	-2.66477097077326870E1
1.50832000000000010E9	-2.66214383451031010E1
1.50842000000000010E9	-2.65951290012504330E1
1.50852000000000010E9	-2.65687815656834080E1
1.50862000000000010E9	-2.65423959274398100E1
1.50872000000000010E9	-2.65159719750835170E1
1.50882000000000010E9	-2.64895095967023410E1
1.50892000000000000E9	-2.64630086799050270E1
1.50902000000000000E9	-2.64364691118188540E1
